cycle number	Ewe/V	<I>/mA	
1,000000000000000E+000	-8,3572662E-004	4,654783630371094E+001
1,000000000000000E+000	-2,4119613E-003	3,234153432807608E+001
1,000000000000000E+000	-5,9361663E-003	2,069908592377112E+001
1,000000000000000E+000	-9,3639418E-003	1,575004712596780E+001
1,000000000000000E+000	-1,2443221E-002	1,316345905548381E+001
1,000000000000000E+000	-1,5544536E-002	1,142066364248628E+001
1,000000000000000E+000	-1,8637845E-002	1,014903268262479E+001
1,000000000000000E+000	-2,1704398E-002	9,307413067233494E+000
1,000000000000000E+000	-2,4757158E-002	8,629643233563314E+000
1,000000000000000E+000	-2,7842799E-002	7,985656367692386E+000
1,000000000000000E+000	-3,0875409E-002	7,460348397562882E+000
1,000000000000000E+000	-3,4074474E-002	7,035537029139277E+000
1,000000000000000E+000	-3,7061550E-002	6,747369171112950E+000
1,000000000000000E+000	-4,0205531E-002	6,371879687865743E+000
2,000000000000000E+000	-4,3196764E-002	6,052700969907972E+000
2,000000000000000E+000	-4,6333328E-002	5,753171491581909E+000
2,000000000000000E+000	-4,9426395E-002	5,581051799306831E+000
2,000000000000000E+000	-5,2485220E-002	5,338135053286464E+000
2,000000000000000E+000	-5,5611473E-002	5,096504857587149E+000
2,000000000000000E+000	-5,8636654E-002	4,866873395598674E+000
